Club,Temporada,Competición,Partidos,lleno,espectadores,promedio
Newell's Old Boys,10/11,Torneo Apertura,19,0,447.5,31.964
Newell's Old Boys,09/10,Torneo Apertura,19,1,597.942,31.471
Newell's Old Boys,08/09,Torneo Apertura,19,0,574.0,30.211
Newell's Old Boys,07/08,Torneo Apertura,19,0,471.0,26.167
Newell's Old Boys,06/07,Torneo Apertura,19,1,495.0,29.118
Newell's Old Boys,05/06,Torneo Apertura,19,0,506.0,26.632
Newell's Old Boys,04/05,Torneo Apertura,19,0,425.0,30.357
Newell's Old Boys,03/04,Torneo Clausura,19,0,295.0,26.818
Newell's Old Boys,02/03,Torneo Clausura,19,1,308.5,23.731
Newell's Old Boys,01/02,Torneo Clausura,19,0,390.3,22.959
Newell's Old Boys,00/01,Torneo Clausura,19,0,12.0,12.0
Newell's Old Boys,99/00,Torneo Apertura,18,0,94.201,7.85
Newell's Old Boys,98/99,Torneo Clausura,1,0,6.62,6.62
Newell's Old Boys,89/90,Primera División,1,0,0.0,0.0
Gimnasia-LP,25/26,Torneo Apertura,5,0,0.0,0.0
Gimnasia-LP,24/25,Torneo Apertura,16,0,57.818,28.909
Gimnasia-LP,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,3,558.205,26.581
Gimnasia-LP,22/23,Liga Profesional de Fútbol (- 23/24),20,2,146.34,20.906
Gimnasia-LP,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),20,0,0.0,0.0
Gimnasia-LP,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,136.3,22.717
Gimnasia-LP,19/20,Superliga Argentina,14,1,27.717,27.717
Gimnasia-LP,18/19,Superliga Argentina,13,0,201.0,15.462
Gimnasia-LP,17/18,Superliga Argentina,13,0,15.0,15.0
Gimnasia-LP,16/17,Primera División,15,0,25.0,12.5
Gimnasia-LP,15/16,Primera División,8,0,51.0,17.0
Gimnasia-LP,14/15,Torneo de Transición,24,0,191.0,17.364
Gimnasia-LP,13/14,Torneo Inicial,19,0,247.0,15.438
Gimnasia-LP,12/13,Primera B Nacional,5,0,71.0,17.75
Gimnasia-LP,11/12,Primera B Nacional,19,0,231.68,14.48
Gimnasia-LP,10/11,Torneo Apertura,19,1,220.5,18.375
Gimnasia-LP,09/10,Torneo Apertura,19,0,320.1,16.847
Gimnasia-LP,08/09,Torneo Apertura,19,0,379.5,21.083
Gimnasia-LP,07/08,Torneo Apertura,19,0,286.0,16.824
Gimnasia-LP,06/07,Torneo Apertura,19,0,217.0,14.467
Gimnasia-LP,05/06,Torneo Apertura,19,0,415.0,21.842
Gimnasia-LP,04/05,Torneo Clausura,19,1,203.0,15.615
Gimnasia-LP,03/04,Torneo Clausura,19,1,59.0,11.8
Gimnasia-LP,02/03,Torneo Clausura,19,0,166.5,11.1
Gimnasia-LP,01/02,Torneo Clausura,19,0,239.0,13.278
Gimnasia-LP,00/01,Torneo Clausura,19,0,0.0,0.0
Gimnasia-LP,99/00,Torneo Apertura,19,0,81.059,4.266
Gimnasia-LP,98/99,Torneo Apertura,1,0,0.0,0.0
Vélez Sarsfield,25/26,Torneo Apertura,5,0,0.0,0.0
Vélez Sarsfield,24/25,Torneo Apertura,16,0,0.0,0.0
Vélez Sarsfield,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),20,3,810.176,40.509
Vélez Sarsfield,22/23,Liga Profesional de Fútbol (- 23/24),21,0,340.39,37.821
Vélez Sarsfield,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),20,0,13.5,13.5
