Temporada,Date,Home,Away,Goles_Local,Goles_Visitante,Resultado_Texto,Resultado_Num,Attendance,Venue,Referee
2018,2018-11-23,Rosario Central,EstudiantesLP,2.0,1.0,Victoria,1.0,0.0,Estadio Dr. Lisandro de la Torre,Pablo Echavarría
2018,2018-11-25,Union,Velez Sarsfield,0.0,2.0,Derrota,-1.0,0.0,Estadio 15 de Abril,Silvio Trucco
2018,2018-11-25,San Martin (Tucuman),Colon,0.0,0.0,Empate,0.0,0.0,Estadio Eva Perón de San Miguel de Tucum...,Diego Ceballos
2018,2018-11-25,Aldosivi,Newell's Old Boys,1.0,0.0,Victoria,1.0,0.0,Estadio José María Minella,Jorge Baliño
2018,2018-11-26,Defensa y Justicia,Tigre,2.0,1.0,Victoria,1.0,0.0,Estadio Norberto Tito Tomaghello,Fernando Espinoza
2018,2018-11-25,Racing Club,Banfield,0.0,0.0,Empate,0.0,0.0,Estadio Presidente Juan Domingo Perón,Germán Delfino
2018,2018-11-26,Lanus,Independiente,1.0,0.0,Victoria,1.0,0.0,Estadio Ciudad de Lanús,Fernando Rapallini
2018,2018-11-27,Rosario Central,San Martin SJ,1.0,0.0,Victoria,1.0,0.0,Estadio Dr. Lisandro de la Torre,Nicolás Lamolina
2018,2018-11-30,Colon,Belgrano,1.0,1.0,Empate,0.0,0.0,Estadio Brigadier General Estanislao Lóp...,Diego Abal
2018,2018-12-01,EstudiantesLP,Lanus,1.0,1.0,Empate,0.0,0.0,Estadio Ciudad de La Plata,Facundo Tello
2018,2018-12-01,Atle Tucuman,San Martin (Tucuman),2.0,3.0,Derrota,-1.0,0.0,Estadio Monumental Presidente José Fierr...,Fernando Rapallini
2018,2018-11-30,Newell's Old Boys,Patronato,1.0,0.0,Victoria,1.0,0.0,Estadio Marcelo Alberto Bielsa,Andrés Merlos
2018,2018-12-02,Aldosivi,San Lorenzo de Almagro,2.0,2.0,Empate,0.0,0.0,Estadio José María Minella,Fernando Espinoza
2018,2018-12-02,Independiente,Boca Juniors,0.0,1.0,Derrota,-1.0,0.0,Estadio Libertadores de América,Darío Herrera
2018,2018-12-01,Banfield,Argentinos Juniors,0.0,1.0,Derrota,-1.0,0.0,Estadio Florencio Solá,Nicolás Lamolina
2018,2018-12-03,Tigre,Godoy Cruz,1.0,3.0,Derrota,-1.0,0.0,Estadio José Dellagiovanna,Pablo Dóvalo
2018,2018-12-03,San Martin SJ,Union,2.0,0.0,Victoria,1.0,0.0,Estadio Ingeniero Hilario Sánchez,Pablo Echavarría
2018,2018-12-03,Velez Sarsfield,Rosario Central,2.0,0.0,Victoria,1.0,0.0,Estadio José Amalfitani,Hernán Mastrángelo
2018,2018-12-02,River Plate,GimnasiaLP,3.0,1.0,Victoria,1.0,0.0,Estadio Monumental Antonio Vespucio Libe...,Silvio Trucco
2018,2018-12-03,TalleresC,Racing Club,1.0,3.0,Derrota,-1.0,0.0,Estadio Mario Alberto Kempes,Patricio Loustau
2018,2018-12-03,Huracan,Defensa y Justicia,1.0,1.0,Empate,0.0,0.0,Estadio Tomás Adolfo Ducó,Fernando Echenique
2018,2018-12-08,San Lorenzo de Almagro,EstudiantesLP,1.0,1.0,Empate,0.0,0.0,Estadio Pedro Bidegaín,Hernán Mastrángelo
2018,2018-12-08,Union,Banfield,0.0,1.0,Derrota,-1.0,0.0,Estadio 15 de Abril,Ariel Penel
2018,2018-12-08,Defensa y Justicia,Colon,3.0,0.0,Victoria,1.0,0.0,Estadio Norberto Tito Tomaghello,Yamil Possi
2018,2018-12-08,Lanus,TalleresC,2.0,1.0,Victoria,1.0,0.0,Estadio Ciudad de Lanús,Fernando Espinoza
2018,2018-12-07,San Martin (Tucuman),Newell's Old Boys,0.0,3.0,Derrota,-1.0,0.0,Estadio Eva Perón de San Miguel de Tucum...,Silvio Trucco
2018,2018-12-09,GimnasiaLP,Huracan,2.0,2.0,Empate,0.0,0.0,Estadio Juan Carmelo Zerillo,Pablo Echavarría
2018,2018-12-09,Argentinos Juniors,Aldosivi,1.0,2.0,Derrota,-1.0,0.0,Estadio Diego Armando Maradona,Patricio Loustau
